,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
10,Pakistan,No-confidence protests,Mar-22,Partly free,The introduction and approval of a no-confidence motion against Prime Minister Imran Khan.,"For supporters of the motion, a belief that the Khan government is corrupt and has economically mismanaged the country; support for the no-confidence motion. After the vote was held, Khan's supporters protested the new government and the effort to remove him.",">10,000",Supporters of opposition parties.,Active,Imran Khan was ousted in a no-confidence vote on April 10.,X,X,X,X,Thousands,X,,,,,Islamabad,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.26400000000000023
11,Russia,Ukraine invasion protests,Feb-22,Not free,The invasion of Ukraine by the Russian military.,Anger over decision by Russian President Vladimir Putin to go to war; concern over economic fallout; solidarity with Ukrainians resisting invasion.,">10,000",General public.,Active,No policy/leadership change in response to protest.,X,X,X,,Tens of thousands,,,,,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
12,Sri Lanka,Economic crisis protests,Mar-22,Partly free,"Rapid depreciation of the Sri Lankan rupee, soaring prices, and widespread shortages of goods.","Anger over the government's economic policies, including the perceived mismanagement of debt.",">10,000",General public.,Active,26 cabinet ministers resigned.,X,X,X,,Tens of thousands,,,,,,Colombo,Sri Lanka,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,0.258
13,Sri Lanka,Justice protests,Feb-21,Partly free,Lack of accountability for abuses during the twenty-six-year civil war.,"Perceived government discrimination against Tamils, centralization of power under Prime Minister Mahinda Rajapaksa’s government, economic discontent, and lack of justice for minority groups and labor groups.",">10,000",General public.,Active,No policy/leadership change in response to protest.,X,X,X,,Thousands,,,,X,,Colombo,Sri Lanka,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,0.258
14,Sudan,“Million-man March”,Jun-20,Not free,"Slow transition from military elite control to civilian control, the repeal of Islamic legal restrictions, and a lack of accountability for anti-protester violence. From October 2021, the major trigger was the military's seizure of power on October 25.","Discontent with the military elite’s continued control and influence, including through undermining the country's democratic transition; the slow pace of reforms; and the repeal of Islamic legal restrictions introduced while former president Omar al-Bashir was in power.",">100,000","General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.",Active,"Bashir and more than twenty former officials are now on trial for the 1989 military coup. Sudan’s current police chief and deputy, linked to Bashir, were fired. In November 2021, Abdalla Hamdok was re-installed as prime minister, though he resigned after mass protests in January 2022.",X,X,X,,Hundreds of thousands,X,X,X,X,,Khartoum,,,,,,,,,,,,,,,,,,,,,
15,Thailand,Antigovernment protests,Jul-20,Not free,"Government failure to boost the economy during the pandemic, kidnapping of a leading political activist, and protesters’ desire to repeal Thailand’s strict royal defamation law.","Lack of employment options for recent graudates, laws that shrink freedoms, and discontent with the military-written constitution.",">10,000","Youth groups, general public.",Active,No policy/leadership change in response to the protests.,X,X,X,,Tens of thousands,,,,X,,Bangkok,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,0.18400000000000016
16,Tunisia,Power grab protests,Sep-21,Free,"President Kais Saied's efforts to seize governing power by suspending constitutional provisions, ruling by decree, and dismissing parliament.",Concerns that Saied is undermining Tunisian democracy and moving toward authoritarian rule.,">2,000",General public.,Active,"Saied appointed a new prime minister, Najla Bouden Romdhan, and in December 2021 announced that a constitutional referendum and new elections would be held in 2022.",X,,X,,Thousands,X,,,X,,Tunis,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,0.22499999999999964
17,Afghanistan,Anti-Taliban protests,Aug-21,Not free,The Taliban's takeover of Afghanistan in the wake of the U.S. withdrawal.,"Anger over changes under Taliban rule, including altered national symbols, declining women's rights, increased repression, and weakened civil society.",">1,000",General public.,1 week,No policy/leadership change in response to protest.,,,X,,Thousands,,,X,,,Kabul,Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,0.14700000000000024
18,Afghanistan,Electoral protests,Nov-19,Not free,Delays in the announcement of final vote counts from the September 2019 presidential election.,"Concerns about electoral fraud and controversy over an electoral recount, which looked to favor incumbent President Ashraf Ghani.",">1,000",Supporters of opposition presidential candidate Abdullah Abdullah.,2 months,No policy/leadership change in response to protests.,,,X,X,Thousands,,,,,X,Kabul,Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,0.14700000000000024
19,Afghanistan,“Commander Sword” protests,Nov-18,Not free,The arrest of a popular ethnic Hazara militia commander known as Commander Sword.,Conflict between the national government and ethnic minorities; allegations that the Hazara ethnic group had been unfairly targeted by authorities.,"<1,000",Ethnic Hazaras.,1 week,The arrested commander was released after two days.,,X,X,X,Over 1 million,X,X,,X,,Kabul,Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,0.14700000000000024
20,Afghanistan,Truck bombing protests,Jun-17,Not free,"A truck bombing on May 31, 2017, which killed over 150 people.",Anger at the inability of President Ashraf Ghani’s national unity government to curb violence.,">1,000",General public.,1 week,"Ghani fired two ministers but also engaged in the bloodiest crackdown in decades. Half a dozen people were killed by security forces, and dozens were wounded.",,,X,X,Tens of thousands,,,,X,,Kabul,Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,0.14700000000000024
21,Albania,Police violence protests,Dec-20,Partly free,The fatal shooting of Klodian Rasha by an officer enforcing a coronavirus curfew.,Concerns about excessive force being used by law enforcement to impose strict coronavirus measures.,>500,"General public, especially youth.",1 week,No policy/leadership change in response to protests.,,,X,,Hundreds,,,X,,X,Tirana,Albania,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,0.23299999999999965
22,Albania,Local elections protests,Feb-19,Partly free,Suspicions that Prime Minister Edi Rama engaged in electoral fraud to win the country's 2017 parliamentary elections.,Electoral fraud and corruption.,">10,000",Opposition parties.,5 months,No policy/leadership change in response to the protests.,,,X,,Thousands,X,,,,X,Tirana,Albania,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,0.23299999999999965
23,Algeria,Protests against “Le Pouvoir”,Feb-19,Not free,Then president Abdelaziz Bouteflika’s decision to seek a fifth term as president.,"Economic downturn, corruption and nepotism, and desire for removal of entrenched military and political elites.",">1,000,000","Opposition parties; a wide range of everyday citizens, such as bankers, truck drivers, teachers, students.",1 year (first round); 2 months (second wave),"Bouteflika resigned. Military and political elites retained power in subsequent elections, triggering further unrest.",,X,X,X,Millions,X,X,,X,,Algiers,Algeria,Middle East and North Africa,4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,0.2079999999999993
24,Argentina,IMF deal protest,Dec-21,Free,Ongoing government negotiations with the International Monetary Fund over debt restructuring.,Concerns over rising economic insecurity; fear that restructuring IMF debt would lead to fiscal austerity measures.,">2,000",General public.,2 months,The government adopted an agreement with the IMF to restructure the country's debt.,,X,X,,Thousands,,,,,,Buenos Aires,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.22100000000000009
25,Argentina,Coronavirus lockdown and judicial reform protests,Aug-20,Free,Announcement of continued lockdown measures and introduction of judicial reform bill.,"Resistance to stringent COVID lockdown measures, economic strain, and fear of impunity for corrupt government officials.",">5,000",General public; supporters of the former Macri govenrment.,2 days,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,X,X,,,,Buenos Aires,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.22100000000000009
26,Argentina,Violence against women protests,Apr-20,Free,Increasing rates of violence and femicide against women during the government-mandated lockdown.,Violence against women and lack of resources/institutions to combat it.,">1,000",Women.,1 month,The Supreme Court of Mendoza established several protocols for domestic violence victims to file complaints.,,,X,,Tens of thousands,X,,,,,Buenos Aires,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.22100000000000009
27,Argentina,Austerity protests,Sep-18,Free,Proposal of austerity measures mandated by the International Monetary Fund.,"Rising inflation and unemployment, as well as higher utility costs.",">10,000","Teachers, social organizations, leftist groups.",1 year (sporadic),No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Buenos Aires,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.22100000000000009
28,Armenia,“#RejectSerzh” protests,Apr-18,Partly free,"Election of then president Serzh Sargsyan as prime minister, allowing him to subvert presidential term limits.","Democratic backslide, poverty, and corruption.",">100,000","Students, opposition leaders.",2 weeks,"Sargsyan resigned as prime minister and was succeeded by Nikol Pashinyan, an opposition leader and leading figure in the protests.",,,X,X,Thousands,X,,,,,Yerevan,Armenia,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,0.2290000000000001
29,Australia,Coronavirus restriction protests,Jul-21,Free,The imposition of lockdowns and vaccine mandates across many Australian states.,Frustration with ongoing coronavirus restrictions and mandates.,">4,000",General public.,8 months,No policy/leadership change in response to protest.,,,X,,Thousands,,,,X,X,Canberra,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,0.16299999999999937
30,Australia,Violence against women protest,Mar-21,Free,Widespread sexual harassment and perceptions of impunity over a rape allegation made by former political aide Brittany Higgins.,"Anger over a perceived culture of impunity for violence and discrimination against women, especially in elite institutions.",">5,000","General public, especially women.",1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Canberra,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,0.16299999999999937
31,Australia,Racial equality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests in Australia against local police brutality and racism.","Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,,Thousands,X,,,,,Canberra,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,0.16299999999999937
32,Australia,Wildfire protests,Jan-20,Free,Government response to the Australian bushfires.,Climate change and weak government policies on climate.,"30,000","Students, activists.",2 days,"Prime Minister Scott Morrison admitted some regret over government policies, increased funding to respond to the bushfires, and promised that a royal commission would review the government response.",,,X,X,Tens of thousands,X,,X,,,Canberra,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,0.16299999999999937
33,Austria,Coronavirus restriction protests,Nov-21,Free,The imposition of vaccine mandates and public health restrictions across Austria.,Frustration with ongoing coronavirus restrictions and mandates.,">40,000","General public, especially unvaccinated populations.",5 months,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Vienna,Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,0.13899999999999935
34,Azerbaijan,Pro-war protest,Jul-20,Not free,"Brief conflict with Armenia over the contested Nagorno-Karabakh region, which resulted in the deaths of eleven Azerbaijani soldiers, including then major general Polad Hashimov.",Anger over the government’s refusal to escalate the territorial conflict in Nagorno-Karabakh.,">10,000",General public.,1 day,The Azerbaijani military initiated a campaign to take back Nagorno-Karabakh in September 2020.,,,X,,Thousands,,,,,X,Baku,Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,0.1589999999999998
35,Azerbaijan,Anticorruption protest,Oct-17,Not free,The detention of six opposition activists.,"Frustration over rampant official corruption, crackdowns on political prisoners, and the entrenchment of the regime of President Ilham Aliyev.",">1,000","Supporters of the National Council of Democratic Forces, an opposition umbrella group.",1 day,No policy/leadership change in response to protests.,,,X,,Over 1 million,,X,,,,Baku,Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,0.1589999999999998
36,Azerbaijan,Political prisoner protest,Jan-19,Not free,"Opening of a new criminal case against political prisoner and anticorruption blogger Mehman Huseynov, who had run a Facebook page critical of the authorities.","Imprisonment of journalists and civil society members, political prosecutions, police brutality, corruption, and lack of democratic reform.","5,000",Umbrella group of opposition parties.,1 day,Government dropped the new charges against Huseynov.,,,X,,Thousands,,,X,X,,Baku,Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,0.1589999999999998
37,Bahrain,Political prisoner death protest,Jun-21,Not free,Death of political prisoner Husain Barakat from COVID-19 while in police custody.,"Frustration over the detention of political prisoners, poor prison conditions, and ineffectual vaccines.",>500,Residents of the town of Diah; general public.,1 day,No policy/leadership change in response to the protests.,,,X,,Hundreds,,,,,X,Manama,Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,0.2649999999999997
38,Bangladesh,Garment worker protests,Jan-19,Partly free,Failure by garment industry employers to raise wages to match the cost of living or provide adequate working conditions.,Economic inequality and low wages.,">10,000",Garment workers.,"1 year, intermittently",The government announced a pay raise for low-income workers.,,,X,,Thousands,,,,X,X,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
39,Bangladesh,Job quota protests,Feb-18,Partly free,The failure of the government to end quotas for jobs in government ministries.,Frustration over lack of economic opportunity and unequal government hiring practices.,">1,000","General public, especially those seeking work in the public sector.",5 months,The government agreed to a piecemeal plan to end hiring quotas over the following two years.,,,X,,Thousands,,,,,X,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
40,Bangladesh,Student murder protests,Oct-19,Partly free,"Murder of Abrar Fahad, a student who posted anti-government content on his Facebook feed.","Concern over the increasing levels of political violence, especially from the Chhatra League, the youth wing of the ruling Bangladesh Awami League.",">1,000",Students.,1 month,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,,,,X,,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
41,Bangladesh,Blasphemy protests,Oct-19,Partly free,Circulation of a social media post that allegedly blasphemed the Prophet Muhammad.,"Anger over secularism and blasphemy in Bangladeshi society, as well as simmering tensions between Muslims and Hindus.",">10,000",Muslims.,1 week,No policy/leadership change in response to protests.,,X,,,Hundreds of thousands,,X,,X,,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
42,Bangladesh,Anti-rape protests,Oct-20,Partly free,Circulation of a video of sexual assault.,"An ongoing sense of impunity for rape and sexual assault perpetrators, especially directed at the state for failing to prosecute or impose significant penalties.",">10,000","General public, especially women and students.",1 week,"The government approved measures to impose the death penalty or lifetime ""rigorous imprisonment"" for rape.",,,X,,Tens of thousands,X,,,,,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
43,Bangladesh,Road safety protests,Jul-18,Partly free,Two students killed by a bus driver.,"Lack of road safety, corruption in transportation sector, arrests or disappearances of opposition activists in recent years, and lack of accountable governance.","15,000","Middle school, high school, university students.",1 week,Installation of legal reforms to raise penalties related to dangerous driving.,,,X,,Tens of thousands,X,,X,,,Dhaka,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.18100000000000005
44,Belarus,Anti-war protest,Feb-22,Not free,The holding of a referendum on whether to adopt a new constitution that would renounce Belarus's non-nuclear status and allow President Alexander Lukashenko to stay in power until 2035.,Anger over the change in nuclear status; frustration with entrenchment of the Lukashenko regime; and disagreement with the Belarusian government's support for Russia's invasion of Ukraine.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,X,Hundreds,,,X,,,Minsk,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,0.18299999999999983
45,Belarus,“Slipper uprising”,Jun-20,Not free,Arrests of opposition presidential candidates; anger over the fraudulence of the August 2020 presidential election.,Opposition to President Alexander Lukashenko’s reelection campaign; frustration over lack of genuine political pluralism.,">100,000",General public.,11 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of of thousands,,X,X,X,,Minsk,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,0.18299999999999983
46,Belarus,Russian integration protests,Jul-19,Not free,A series of meetings between Belarusian President Aleksandr Lukashenko and Russian President Vladimir Putin.,"Opposition to deepening ties between Russia and Belarus, especially in the wake of Russia’s annexation of Crimea.",">1,000",General public.,5 months,No policy/leadership change in response to protests.,,,X,,Unknown,X,,X,,X,Minsk,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,0.18299999999999983
47,Belarus,“Parasite” tax protests,Feb-17,Not free,Labor law that would require citizens who work less than half the year and fail to register with state labor exchanges to pay $250.,"Economic downturn, poverty, continued political restrictions, and detention of opposition activists.",">1,000",General public.,1 month,President Alexander Lukashenko suspended the tax for a year.,,,X,,Thousands,,,,,X,Minsk,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,0.18299999999999983
48,Belgium,Coronavirus restriction protests,Jan-21,Free,The imposition of lockdowns and vaccine mandates across Belgium.,Frustration with ongoing coronavirus restrictions and mandates.,">30,000",General public.,14 months,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Brussels,Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,0.13399999999999945
